LV1_ISO,LV2_Category,VDI3233_No,HB,HRC,Material_Description,Composition_Heat_Treatment,Material_No,JIS,DIN,AISI_ASTM_SAE,BS,EN,AFNOR,SS,UNI,UNE_IHA,UNS,GOST,GB,Brands
P,Carbon Steels,3,250,25,Non-alloyed steel,"About 0.45% C, Annealed",1.0503,S45C,C45,1045,060A47,XC42H1TS,1672,C45,F.1140,G10450,45,,,
P,Carbon Steels,3,250,25,Non-alloyed steel,"About 0.45% C, Annealed",1.0614,C76D,1074,XC75,G10750,,,,,,,,,
P,Carbon Steels,3,250,25,Non-alloyed steel,"About 0.45% C, Annealed",1.0616,C86D,1086,XC80,C85,G10860,,,,,,,,
P,Carbon Steels,3,250,25,Non-alloyed steel,"About 0.45% C, Annealed",1.0618,C92D,1095,XC90,G10950,,,,,,,,,
P,Carbon Steels,3,250,25,Non-alloyed steel,"About 0.45% C, Annealed",1.0726,35S20,1140,212M36,8M,35MF6,1957,G11400,40,,,,,
P,Carbon Steels,3,250,25,Non-alloyed steel,"About 0.45% C, Annealed",1.1157,40Mn4,1039,150M36,15,40M5,G10390,40G,40Mn,,,,,
P,Carbon Steels,3,250,25,Non-alloyed steel,"About 0.45% C, Annealed",1.1165,SMn433H,30Mn5,1036,120M36,35M5,30Mn5,F.8211,K13300,30G2,,,,
P,Carbon Steels,3,250,25,Non-alloyed steel,"About 0.45% C, Annealed",1.1167,SMn438(H),36Mn5,1335,150M36,40M5,2120,36Mn6,F.1203,G13350,35G2,35Mn2,,
P,Carbon Steels,3,250,25,Non-alloyed steel,"About 0.45% C, Annealed",1.1186,S40C,C40E,1040,060A40,2C40,C40,G10400,,,,,,
P,Carbon Steels,3,250,25,Non-alloyed steel,"About 0.45% C, Annealed",1.1191,S45C,Ck45,1045,080M46,2C45,1672,C45,F.1140,45,,,,
P,Carbon Steels,3,250,25,Non-alloyed steel,"About 0.45% C, Annealed",1.1201,S50C,C45R,1049,080M46,3C45,1660,C45,F.1145,38HM,,,,
P,Carbon Steels,3,250,25,Non-alloyed steel,"About 0.45% C, Annealed",1.1213,S50C,Cf53,1050,070M55,XC48HTS,1674,C53,G10500,50,,,,
P,Carbon Steels,3,250,25,Non-alloyed steel,"About 0.45% C, Annealed",1.7242,SCM 418 H,18CrMo4,,,,,,,,,,,
P,Carbon Steels,3,250,25,Non-alloyed steel,"About 0.45% C, Annealed",1.7337,16CrMo4-4,A387 Gr.12,A18CrMo45KW,K11564,15C M,,,,,,,,
P,Carbon Steels,3,250,25,Non-alloyed steel,"About 0.45% C, Annealed",1.7362,SCMV 6,12CrMo195,3606-625,Z10CD5-05,16CrMo205,K41545,17MnV6,A572-60,436055E,NFA35-501E36,2142,,
P,Carbon Steels,4,270,28,Non-alloyed steel,"About 0.75% C, Annealed",1.007,St 70-2,1055,Fe690-2FN,-,A70-2,1655,Fe 690,F.1150,55,,,,
P,Carbon Steels,4,270,28,Non-alloyed steel,"About 0.75% C, Annealed",1.0535,S55C,C55,1055,070M55,1C55,1655,C55,J05000,55,,,,
P,Carbon Steels,4,270,28,Non-alloyed steel,"About 0.75% C, Annealed",1.0601,S58C,C60,1060,060A62,43D,1C60,C60,G10600,60(G),,,,
P,Carbon Steels,4,270,28,Non-alloyed steel,"About 0.75% C, Annealed",1.1203,S55C,Ck55,1055,060A57,2C55,1655,C55,F.1150,G10550,55,55,,
P,Carbon Steels,4,270,28,Non-alloyed steel,"About 0.75% C, Annealed",1.1221,S58C,Ck60,1060,060A62,43D,2C60,1678,C60,F.1150,G10640,60,60Mn,
P,Carbon Steels,4,270,28,Non-alloyed steel,"About 0.75% C, Annealed",1.1274,SUP4,Ck 101,1095,060 A 96,C 100S,XC100,1870,C100,F.5117,G10950,,,
P,Carbon Steels,4,270,28,Non-alloyed steel,"About 0.75% C, Annealed",1.1545,SK 3,C 105 W1,W1,BW 2,C 105U,Y1 105,1880,C 100 KU,F.5118,U10A,90,,
P,Carbon Steels,4,270,28,Non-alloyed steel,"About 0.75% C, Annealed",1.1663,SK 2,C125W,W112,Y2120,U13,T12A,,,,,,,
P,Carbon Steels,4,270,28,Non-alloyed steel,"About 0.75% C, Annealed",1.512,38MnSi4,,,,,,,,,,,,
P,Carbon Steels,4,270,28,Non-alloyed steel,"About 0.75% C, Annealed",1.571,SNC236,36NiCr6,3135,640A35,111A,35NC6,,,,,,,
P,Carbon Steels,4,270,28,Non-alloyed steel,"About 0.75% C, Annealed",1.7701,51CrMoV4,51CrMoV4,,,,,,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.0116,St 37-3,A570 Gr. 36,4360-40C,S 235 J2 G3,E24-3,1312,Fe 360 D1(2),AE235D,ST3KP,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.0904,"SKH 1, SKT 4",55Si7,9255,250A53,45,55S7,2085,55Si8,56Si7,G92550,55S2,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.0961,SUP 7,60SiCr7,9262,60SC6,60SiCr8,60SiCr8,G92620,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.2067,100Cr6,L3,BL3,Y100C6,100Cr6,"Gr15,45Gr",,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.2108,90CrSi5,L1,2092,105WCR5,,,,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.221,115CrV3,L2,100C3,107CrV3KU,F.520L,11KHF,,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.2241,51CrV4,,,,,,,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.233,SCM435TK,35CrMo4,4135,708A37,34CD4,2234,35CrMo4,35KHM,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.2419,SKS31,105WCr6,105WC13,105WC13,2140,10WCr6,C WG,CrWMo,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.251,SKS3,100MnCrW4,O1,BO1,90 MWCV 5,2140,95 MnWCr 5 KU,F.5220,9KHVG,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.2542,45WCrV7,S1,BS1,2710,45WCrV8KU,5C W25F,5CrNiMo,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.255,60WCrV7,S1,55WC20,2710,58WCr9KU,5KHV2SF,,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.2713,SKT4,55NiCrMoV6,L6,55NCDV7,F.520S,5C NM,5CrNiMo,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.2721,50NiCr13,L6,55NCV6,2550,F.528,,,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.2842,90MnCrV8,O2,BO2,90MV8,T31502,9G2F,,,,,,,
